 host           organization                          location
 mcshh          HanseNet & NorthNet                   Germany
 mcsiad         Motorola, Inc., Computer Group, Comm  McLean, Virginia
 mcsiis         Modular Computer Systems GmbH         Germany
 mcspdx         Motorola, Inc., Computer Systems Div  Beaverton, Oregon
 mcssjc         Motorola, Inc., Computer Systems Div  Cupertino, CA
 mcstul         MicroAge Computer Store, Tulsa OK     Tulsa, Oklahoma
 mcsun          European Forum for Open Systems       Netherlands
 mct-1          Micro Component Technologies, Inc.    St Paul, Minnesota
 mcvie          MC-Software, Computer Handelsges.m.b  Wien
 mcwmis         Medical College of Wisconsin - MIS    Wisconsin, WI
 md386          Mark E. Davidson                      Thousand Oaks, CA
 mdacrf         McDonnell Douglas Astronautics Corp.  St Louis, Missouri
 mdaeng         MDA Engineering Inc.                  Arlington, Texas
 mdavcr         MacDonald Dettwiler                   Canada
 mdbe           McCutchen, Doyle, Brown and Enersen   San Jose, CA
 mdbs           Micro Data Base Systems, Inc.         Lafayette, Indiana
 mdc-astro      McDonnell Douglas Astronautics        Monrovia, CA
 mdcbbs         Electronic Data Systems, M & E Divis  Cypress, CA
 mdceng         Missouri Conservation Dept.           Jefferson City, MO
 mdcsc          McDonnell Douglas Computer Systems    Santa Ana, CA
 mdf            Communications Network Solutions      Austin, Texas
 mdg            Morgan Davis Group                    Rancho San Diego C
 mdhca          McDonnell Douglas Helicopter Company  Culver City, CA
 mdi            Meridian Data, Inc.                   Scotts Valley, CA
 mdi386         McIntyre Designs, Inc.                Langhorne, PA
 mdisea         Motorola Inc., Mobile Data Division   Bothell, WA
 mdlrth         Lockheed Electronic Company, Inc.     Plainfield, NJ
 mdotaug        Maine Department of Transportation    Augusta, Maine
 mdotbgr        Maine Department of Transportation    Bangor, Maine
 mdotscr        Maine Department of Transportation    Scarborough, Maine
 mds            Modulus Data Systems Inc.             Sunnyvale, CA
 mds1           Mylee Digital Sciences, Inc.          St Louis, Missouri
 mdt            MDT, Inc.                             Marietta, Georgia
 mdv            Mohr-Davidow Ventures                 Menlo Park, CA
 mdyn           Molecular Dynamics                    Sunnyvale, CA
 me-ncr         Oy Mercantile Ab, NCR Systems         Finland
 meaddata       Mead Data Central                     Ohio
 meadow         Amdahl Canada Limited - Unix worksta  Canada
 mecazh         Mecasoft SA                           Switzerland
 mecca          Middel Earth Computer Communications  Colorado
 meccts         Minnesota Educational Computing Corp  North Minneapolis
 mecky          MIKROS Systemware / EDV Beratung      Germany
 medar          Medar, Inc. of Farmington Hills MI    Farmington Hills M
 meddat         Medi-Data Service                     Elmhurst, Illinois
 medea          MusicArt Associates                   San Francisco, CA
 medevac        Medevac Inc.                          Wheatridge, CO
 medex2         University of Miami, Broward County   Ft Lauderdale, FL
 medexam        University of Miami, Broward County   Ft Lauderdale, FL
 media          Media Cybernetics, Inc.               Silver Spring, MD
 mediatex       MEDIAtex AG, CH-8807 Freienbach       SZ
 medicus        Medicus Systems Corporation           Alameda, CA
 medinfo        Georgia Tech BioEngineering Center    Atlanta, Georgia
 medisun        University of California, San Franci  Fresno, California
 medite         Dir.Nac.de Inf.Difusion,Estadistica   Argentina
 medix          Martin Information Systems, Ltd.      Hawai`i
 meds           Medical Data Systems                  Dallas, Texas
 medsys         Med-Systems                           Kingsport, TN
 medtron        Medtronic, Inc.                       Fridley, Minnesota
 meerkat        Frey Communications                   Fairfax, Virginia
 mega           Andreas Toenne                        W Germany
 megadon        Megadon Organization                  Sunnyvale, CA
 megalon        Klaus Altenburg                       W Germany
 megaron        University of Arizona, Dept. of Comp  Tucson, Arizona
 megasys        Megasystems Inc.                      Delray Beach, FL
 megatek        Megatek Corporation                   San Diego, CA
 megatel        Megatel Informationssysteme GmbH      Germany
 megatest       Megatest Corporation                  San Jose, CA
 megatron       General Motors Research Laboratories  Michigan
 mehost         Ford Motor Company, EFHD Ypsilanti    Ypsilanti, MI
 meiji          Sanwa-BGK                             New York, New York
 mejac          Woodpecker Records Co.                Palo Alto, CA
 mek            meK, Inc.                             Danville, CA
 melair         Lockheed Canada Inc., Iber Road Faci  Canada
 melasv         Mitsubishi Electronics America        Sunnyvale, CA
 melatl         Melita Electronic Labs Inc.           Norcross, Georgia
 melkor         ADC Telecommunications                Minneapolis, MN
 melpar         E-Systems                             Falls Church, VA
 men2a          Atlantic Rocket Corp.                 Arlington, VA
 mennen         Mennen Medical Inc.                   New York
 menno          Bethel College, North Newton, Kansas  North Newton, KS
 mentat         Mentat Inc.                           Santa Monica, CA
 meph           WICAT Systems                         Orem, Utah
 merccap        Mercadian Capital                     E Jersey City, NJ
 merch          Radio Shack Computer Merchandising    Ft Worth, Texas
 mercomp        Mercury Computer Systems              Lowell, MA
 mercsftw       Mercantile Software Systems, Inc.     Piscataway, NJ
 mercury        Ricoh Corporation                     Santa Clara, CA
 mercy          Mercy Medical Equipment Company       Texas
 mergsun        Linotype Company                      Hauppauge, NY
 mergvax        Linotype Co.                          Hauppauge, NY
 merk           Darkside Systems                      Boston, MA
 merlix         Secyt - Sid                           Florida Buenos Air
 merlyn         Micro Data Base Systems, Inc.         Lafayette, Indiana
 meros          Meros Management                      Ishpeming, MI
 mescal         Mescal Systems                        Austin, Texas
 mesce          Ministerio de Economia                Balcarce
 mesira         Mesira                                Scotts Valley, CA
 mesrx          Measurex Corporation                  Cupertino, CA
 meta4          Meta-4 Systems Corporation, R & D Di  Canada
 metaflow       Metaflow Technologies, Inc.           La Jolla, CA
 metagr         Meta Graphics                         Scotts Valley, CA
 metallica      Individual                            New York, New York
 metapsy        Institute for Research in Metapsycho  Woodside, CA
 metapyr        Meta LBMS                             Michigan
 metasoft       Meta Software Corp.                   Cambridge, MA
 metaware       MetaWare, Inc.                        Santa Cruz, CA
 metheus        Metheus Corporation                   Oregon
 metpage        Metro-Media Paging Systems            Ridgefield Park NJ
 metradt        Sema-Metra, Direction Technique Rech  France
 metran         Metran Technology                     Florida
 metrix         Metrix Computer Systems               Nashua, NH
 metro          Metro Link Incorporated               Pompano Beach, FL
 metron         Metron Computerware, Ltd.             Oakland, CA
 metrotia       Metrologie, Techniques Informatique   France
 metrum         Metrum Information Storage            Littleton, CO
 metsa          National Board of Forestry (MH)       Finland
 metter         Metters Industries, Inc.              Arlington, VA
 mfci           Multiflow Computer Inc.               Branford, CT
 mfg-inst       Institute of Advanced Manufacturing   Cincinnati, Ohio
 mfgsrvr        Microfield Graphics, Inc.             Beaverton, Oregon
 mfind          MF Industries                         Los Angeles, CA
 mfocus         Micro Focus Inc.                      Palo Alto, CA
 mfs            Metropolitan Fiber Systems            Houston, Texas
